sex=female,age,juv_fel_count,juv_misd_count,juvenile_crimes,priors_count,current_charge_degree=felony,two_year_recid
0,69,0,0,0,0,1,0
0,34,0,0,0,0,1,1
0,24,0,0,1,4,1,1
0,44,0,0,0,0,0,0
0,41,0,0,0,14,1,1
0,43,0,0,0,3,1,0
1,39,0,0,0,0,0,0
0,21,0,0,0,1,1,1
0,27,0,0,0,0,1,0
0,23,0,0,0,3,0,1
1,37,0,0,0,0,0,0
0,41,0,0,0,0,1,0
1,47,0,0,0,1,1,1
0,31,0,0,0,7,1,1
0,37,0,0,0,0,0,0
0,25,0,0,0,3,1,0
0,31,0,0,0,6,1,1
0,31,0,0,0,5,1,1
0,64,0,0,0,13,1,1
0,21,0,0,0,1,1,1
0,27,0,0,0,0,0,1
1,21,0,0,0,0,1,0
0,24,0,0,0,1,1,1
0,43,0,0,0,1,0,0
0,32,0,0,0,0,0,0
0,27,0,0,0,8,1,1
1,36,0,0,0,3,1,0
0,26,0,0,1,5,1,1
0,33,0,0,0,0,1,1
0,30,0,0,0,9,1,1